ID;Price Guide Sequence;Product Line;Product Name;Price (Non UPH Products);Price Grade 02;Price Grade 03;Price Grade 04;Price Grade 05;Price Grade 06;Price Grade 07;Price Grade 08;Price Grade 09;Price Grade 10;Price Grade 11;Price Grade 12;Price Grade 13;Price Optional Armpad or Armcap - Polyurethane;Price Optional Armcap - Polyurethane;Price Optional ArmPAD - Polyurethane;Price Optional Armpad or Armcap - Solid Surface;Price Optional Armcap - Solid Surface;Price Optional ArmPAD - Solid Surface;Price Optional Casters;Price Optional Swivel Tablet;Price Optional Chrome Finish;Price Optional Ganging Brackets;Price Optional Power Unit;Price Optional Bevel Edge;Price Optional Shelf;Country of Origin
AS1101;1;Amherst Steel;Guest Chair;;912;895;913;935;968;1.016;1200;1.174;1.298;1.447;1.641;1.893;68;;70;170;;170;;;;47;;;;US
AS1102;2;Amherst Steel;Armless Guest Chair;;801;895;913;935;968;1.016;1.081;1.174;1.298;1.447;1.641;1.893;;;;;;;;;;47;;;;US
AS1201;3;Amherst Steel;Oversize Guest Chair;;918;1.023;1.044;1.07;1.106;1.16;1.234;1.339;1.478;1.647;1.865;2.149;68;;68;166;;166;;;;47;;;;US
AS1401;4;Amherst Steel;Bariatric Chair;;1.286;1.479;1.516;1.563;1.631;1.73;1.865;2.057;2.313;2.621;3.022;3.543;68;;68;166;;166;;;;47;;;;US
AS1161;5;Amherst Steel;Hip Chair - Guest;;995;1.089;1.107;1.129;1.162;1.21;1.275;1.368;1.492;1.641;1.835;2.087;68;;68;166;;166;;;;47;;;;US
AS1261;6;Amherst Steel;Hip Chair - Oversize Guest;;1.116;1.221;1.242;1.268;1.304;1.358;1.432;1.537;1.676;1.845;2.063;2.347;68;;68;166;;166;;;;47;;;;US
AS1108;7;Amherst Steel;Patient Chair High Back;;979;1.137;1.167;1.206;1.261;1.342;1.453;1.61;1.819;2.072;2.399;2.825;68;;68;166;;166;;;;47;;;;US
AS1208;8;Amherst Steel;Patient Oversize Chair High Back;;1.119;1.294;1.328;1.371;1.433;1.522;1.646;1.82;2.053;2.333;2.697;3.171;68;;68;166;;166;;;;47;;;;US
AS2101;9;Amherst Steel;2 Seat Sofa;;1.542;1.73;1.766;1.81;1.876;1.972;2.102;2.288;2.536;2.834;3.222;3.726;68;;68;166;;166;;;;47;;;;US
AS2103;10;Amherst Steel;2 Seats with Center Arm;;1.542;1.73;1.766;1.81;1.876;1.972;2.102;2.288;2.536;2.834;3.222;3.726;102;;102;249;;249;;;;47;;;;US
AS3101;11;Amherst Steel;3 Seat Sofa;;2.284;2.566;2.62;2.686;2.785;2.929;3.124;3.403;3.775;4.222;4.804;5.56;68;;68;166;;166;;;;47;;;;US
AS3103;12;Amherst Steel;3 Seats with Center Arms;;2.284;2.566;2.62;2.686;2.785;2.929;3.124;3.403;3.775;4.222;4.804;5.56;136;;136;332;;332;;;;47;;;;US
